Unnamed: 0,transaction_id,description,trnref,dob_new,price_new,customer_type,age_group,item_type,class_name,subclass_name,nova,standard_uom,uom_criteria,conversion,price_uom,class_name_uom
39,001_003-28,FESTIVE CREAM ROLL 70G CHOC,28,,25.0,No-Loyalty card,,Food Item,BUNS/ROLLS,SWEET ROLLS,Ultra-processed foods,KGS,70G,0.07,357.1428571428571,BUNS/ROLLS (KGS)
40,001_003-29,BUTALI BROWN SUGAR 1KG PKT,29,,105.0,No-Loyalty card,,Food Item,SUGAR,BROWN SUGAR,Processed Culinary Ingredients,KGS,1KG,1.0,105.0,SUGAR (KGS)
41,001_003-29,EDEN TEA 100G,29,,44.0,No-Loyalty card,,Food Item,TEA,TEA - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods,KGS,100G,0.1,440.0,TEA (KGS)
42,001_003-30,EXE CHAPATI FLOUR 2KG,30,,123.0,No-Loyalty card,,Food Item,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods,KGS,2KG,2.0,61.5,WHEAT FLOUR (KGS)
43,001_003-30,KENSALT TABLE SALT 2KG,30,,62.0,No-Loyalty card,,Food Item,SALT,TABLE SALT,Processed Culinary Ingredients,KGS,2KG,2.0,31.0,SALT (KGS)
44,001_003-30,MARA SUGAR 2KG WHITE,30,,210.0,No-Loyalty card,,Food Item,SUGAR,WHITE SUGAR,Processed Culinary Ingredients,KGS,2KG,2.0,105.0,SUGAR (KGS)
45,001_003-30,MUFFIN PLAIN 6 PACK 300G J/SUPER,30,,95.0,No-Loyalty card,,Food Item,CUPCAKES/MUFFINS/QUEENCAKES,MUFFINS,Ultra-processed foods,KGS,300G,0.3,316.6666666666667,CUPCAKES/MUFFINS/QUEENCAKES (KGS)
46,001_003-31,BAHARI FRY 3L,31,,485.0,No-Loyalty card,,Food Item,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients,LTRS,3L,3.0,161.66666666666666,COOKING OIL (LTRS)
47,001_003-31,NDOVU HOME BAKING 2KG,31,,114.0,No-Loyalty card,,Food Item,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods,KGS,2KG,2.0,57.0,WHEAT FLOUR (KGS)
48,001_003-31,KENSALT TABLE SALT 2KG,31,,62.0,No-Loyalty card,,Food Item,SALT,TABLE SALT,Processed Culinary Ingredients,KGS,2KG,2.0,31.0,SALT (KGS)
49,001_003-31,BRANDED SUGAR 2KG BROWN,31,,210.0,No-Loyalty card,,Food Item,SUGAR,BROWN SUGAR,Processed Culinary Ingredients,KGS,2KG,2.0,105.0,SUGAR (KGS)
50,001_003-31,AFIA JUICE MULTI VITAMIN 1.5LTR PET,31,,160.0,No-Loyalty card,,Food Item,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,LTRS,1.5LTR,1.5,106.66666666666669,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS (LTRS)
51,001_003-32,QUENCHER ORANGE 700ML,32,,98.0,No-Loyalty card,,Food Item,DILUTING JUICE,CORDIALS,Ultra-processed foods,LTRS,700ML,0.7,140.0,DILUTING JUICE (LTRS)
52,001_003-33,NUVITA FAMILY 75G,33,,20.0,No-Loyalty card,,Food Item,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods,KGS,75G,0.075,266.6666666666667,"COOKIES, BISCUITS AND WAFERS (KGS)"
53,001_003-34,AJAB HOME BAKING 2KG,34,,121.0,No-Loyalty card,,Food Item,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods,KGS,2KG,2.0,60.5,WHEAT FLOUR (KGS)
54,001_003-34,KENSALT TABLE SALT 500G,34,,17.0,No-Loyalty card,,Food Item,SALT,TABLE SALT,Processed Culinary Ingredients,KGS,500G,0.5,34.0,SALT (KGS)
55,001_003-35,PEMBE MAIZE 10KG,35,,509.0,No-Loyalty card,,Food Item,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods,KGS,10KG,10.0,50.9,MAIZE/CORN FLOUR (KGS)
56,001_003-37,PEMBE WHEAT 2KG,37,,107.0,No-Loyalty card,,Food Item,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods,KGS,2KG,2.0,53.5,WHEAT FLOUR (KGS)
